Sport,Discipline,Code
Biathlon,,BTH
Bobsleigh,,BOB
Skeleton,,SKN
Curling,,CUR
Ice Hockey,,IHO
Luge,,LUG
Skating,Figure,FSK
Skating,Short Track Speed,STK
Skating,Speed,SSK
Skiing,Alpine,ALP
Skiing,Cross Country,CCS
Skiing,Freestyle,FRS
Nordic Combined,,NCB
Ski Jumping,,SJP
Snowboard,,SBD
Ski Mountaineering,,SMT
